reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 04.11,T1V1 YUNUS,,8,visit,1,,5:58,22439.6,1460,,,,,,,,DATSGRIM2,DATS GRIMBERGEN,Vilvoordsesteenweg 301,,1850,Grimbergen,,50.92705,4.3914,,,Dats,,0:10:00,,,,,,,,
,DIMANCHE 04.11,T1V1 YUNUS,,9,store,,,6:18,5148.4,586,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,0,store,,,0:00,0,0,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,1,visit,1,,0:21,19380.7,1315,,,,,,,,IXL,TFCO IXL,Avenue de l'hippodrome 75,,1050,Ixelles,,50.82027,4.37682,,,TFCO,,0:45:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,2,visit,1,,1:19,3490.3,769,,,,,,,,TFCO SABLON,TFCO SABLON,Rue Joseph Stevens 34,,1000,BRUXELLES,Belgique,50.84155,4.35337,,,,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,3,visit,1,,1:57,4551.1,1056,,,,,,,,,Dats Anderlecht,ChaussŽe de Mons 875,,1070,,,50.828313,4.302198,,,,,,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,4,visit,1,,2:47,39403.1,2080,,,,,,,,LH1,TFCO LH Hulpe,Chaussée de Bruxelles 2,,1310,LA Hulpe,,50.73138,4.4809,fermé le lundi.,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,5,visit,1,,3:25,12449.8,1083,,,,,,,,WAV1,TFCO WAVRE,Avenue des Princes 52,,1300,Wavre,,50.71678,4.61559,fermé le lundi,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,6,visit,1,,4:00,16019.6,929,,,,,,,,OVE1,TFCO OVErijse,Brusselsesteenweg 410,,3090,Overijse,,50.78654,4.50019,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,7,visit,1,,4:21,579.4,67,,,,,,,,DATSOVE1,Dats Overijse,Brusselsesteenweg 361,,3090,Overijse,,50.78348,4.5058,,,Dats,,0:10:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,8,visit,1,,4:58,31480.8,1603,,,,,,,,MCH,TFCO MA Malines,hoogstraat 66,,2800,malines,,51.02265,4.47407,Fermé lundi et mardi  livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,9,visit,1,,5:43,24473.1,1495,,,,,,,,,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,Antwerpen,,51.21187,4.39655,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,10,visit,1,,6:25,20745.4,1347,,,,,,,,BRA,TFCO ANV BRASSCHAT,212 Bredabaan,,2930,antwerpen,,51.28897,4.48895,,livraison entre 19h-06h,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 04.11,T2V4 ALI DIEGO,,11,store,,,7:27,55495.8,2479,,,,,,,,,SUMY,avenue de bejar laan 1EA,,1120,neder over hembeek,,50.911043,4.403273,,,,,,,,,,,,,
