reference plan,plan,route,vehicle,order,stop type,active,wait,time,distance,drive time,out of visit time window,out of capacity,out of vehicle time shift,out of work time,maximum achievable distance,status,eta,reference,name,street,detail,postalcode,city,country,lat,lng,comment,phone,tags,reference visit,visit duration,open 1,close 1,open 2,close 2,priority,tags visit,quantity[colis],operation[colis]
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,TFCO ANV BRASSCHAT,212 Bredabaan,,2930,,,51.28897,4.48895,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,TFCO ANV VOLK,VOLKSTRAAT 8,,2000,Antwerpen,,51.21187,4.39655,,,TFCO,,0:20:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,885805,RSCA tribune 4,Avenue théo vanbeeck 2,,1070,Anderlecht,,50.83496,4.29849,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,5006225,Pillows Grand Hotel,Place Roupe 17,,1000,Bruxelles,,50.84243,4.3463,Avant 10h30,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,,TFCO MA Malines,hoogstraat 66,,2800,,,51.02265,4.47407,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,DATSMAL1,Dats MALINES,Liersesteenweg 351,,2800,Mechelen,,51.0448129,4.477557,,,Dats,,0:10:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,5007701,DXC Malines,Blarenberglaan 2,,2800,Malines,,51.0537599,4.44797,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,357715a,OCEAN MAREE,Quai de l' Industrie 214,,,,,50.83987,4.32004,,,,,,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,357715b,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,BRG,TFCO BRG Brugge,Smedenstraat 36,,8000,brugge,,51.20564,3.21504,Fermé lundi et mardi + Livraison entre 19h et 6h,,TFCO,,0:20:00,,,,,,"TFCO,TFCO",,
,DIMANCHE 24.03,,,,visit,,,,,,,,,,,,,357715c,OCEAN MAREE,Quai de l' Industrie 214,,1070,Anderlecht,,50.83987,4.32004,,,,,0:30:00,,,,,,,,
